Date,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,TA125
2003-02-01,-0.13103976259023126,-0.07398964122446046,-0.09521921461994444,-0.07097443481513786,-0.08499367480502938,-0.11581551922690927,-0.12654169767501575,-0.09871784845765252,-0.08416072553968264,-0.1093160234707321,-0.17831097479243738
2003-03-01,-0.06745515604183222,-0.006161771799683825,-0.001015617480887802,-0.03523266997782798,-0.0650204554632458,-0.09157905940497736,-0.031177228123904305,-0.016596496805081188,0.05272932875611575,-0.07886864804807532,-0.12380531185157505
2003-04-01,-0.0654127685396778,-0.039954523570771366,0.019374788675425685,-0.007599208519338683,-0.02020865446710495,0.05959765987068851,0.026581222598085225,0.040011612863727064,0.0381239142855558,-0.026982952493764832,-0.08495573853556287
2003-05-01,-0.08365394960498905,-0.041007052574219535,0.013723774967515937,0.024410060527982884,0.07126481662518395,0.049859080639175886,0.07610557036990301,0.09933466872464726,-0.017941732878437984,-0.058660166144492924,-0.07924695103851356
2003-06-01,-0.06592884922930689,-0.00254500078346031,0.019336166708129425,0.030875160135391693,0.005017860188779838,-0.004209084563010804,0.02956184920001555,0.033936499925080466,-0.02512575398594731,-0.03843132734548985,0.21067633984018933
2003-07-01,-0.1180996141374708,-0.1114872926596173,-0.14145804153424602,-0.11173606112192223,-0.08543853829972446,-0.1407946225981062,-0.07903615464646292,-0.10107407500896047,-0.17397059013680827,-0.15348863954452854,-0.06777337965518514
2003-08-01,-0.12246096222844766,-0.12696389411562206,-0.07701938201822403,-0.06046994016552429,-0.07236217937192521,-0.09137306976523173,-0.035557503524698,-0.04969548808523816,-0.04902887784353233,-0.053777471793315816,0.017471948098275937
2003-09-01,-0.02660394959459919,-0.05965892910177833,-0.025380284118959567,-0.04249383627020605,-0.08002548907568056,-0.04760717011543258,-0.05717162283058828,-0.015369228419132262,-0.02345052616433847,-0.08183209765116084,0.09410110825114174
2003-10-01,-0.0627346223849835,0.09321971274824836,0.015923472918621097,-0.020935250367735882,0.04016710719397228,0.014854793415650715,0.010980633494707964,0.0344008172843418,0.021584087676503484,0.06345428186609495,-0.06016847836567853
2003-11-01,0.07378990779341922,-0.02662958123173983,0.012107133795181274,0.002940647112727302,0.024856649853084837,0.012068166022243122,0.033515095465323684,-0.034283266880936074,-0.024049643065615703,0.04343668784757156,-0.28116882712533864
2003-12-01,-0.08228108081046336,-0.024188895955239254,-0.03547200939134277,0.0037791100429466814,-0.05990507196646167,-0.06142606288436756,-0.016483570123360106,0.026186226293495287,-0.008198173520577223,-0.02152310554137413,-0.031425954627526134
