Date,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,TA125,return,,,,,,,,,,,,,,,,,
01-01-03,-0.090516588,-0.079196602,-0.082368543,-0.105698042,-0.118798429,-0.065538528,-0.098607319,-0.073074411,-0.063997753,-0.067299023,-0.014287231,0.080890699,0.985814348,,,,,,0.913459181,0.923858274,0.920932493,0.899696277,0.887986775,0.936562962,0.906098446,0.92953166,0.938007107,0.934915598,0.985814348
01-02-03,-0.085068773,-0.085549111,-0.105277605,-0.065524577,-0.072467947,-0.09678608,-0.08996633,-0.103545342,-0.163220599,-0.051470184,-0.1744354,0.079540554,0.839931112,,,,,,0.918449117,0.918008057,0.900074623,0.936576028,0.930095558,0.907750171,0.913961958,0.90163514,0.849403791,0.949831969,0.839931112
01-03-03,-0.086171296,-0.078640084,-0.044970923,-0.048000111,-0.018439894,-0.078107483,-0.057163855,-0.010458684,0.021090404,-0.03290804,-0.119909284,0.081920943,0.887000899,,,,,,0.917437064,0.924372561,0.95602528,0.953133681,0.98172908,0.924865014,0.944439306,0.989595818,1.021314379,0.967627538,0.887000899
01-04-03,-0.045956191,-0.071123479,-0.011920858,0.004625942,-0.050780059,0.048773124,0.02551501,0.014165082,0.013618054,0.046334867,-0.081535504,0.078300015,0.921699985,,,,,,0.955083802,0.931346883,0.988149914,1.004636658,0.950487699,1.049982108,1.025843304,1.014265882,1.013711202,1.0474251,0.921699985
01-05-03,-0.056677972,0.009191576,-0.000275483,-0.017032297,0.021075725,-0.045218492,0.016732713,0.033199352,0.020445775,0.064031746,-0.076260708,0.073425391,0.926574609,,,,,,0.944898305,1.009233948,0.999724555,0.983111933,1.021299387,0.955788627,1.016873489,1.0337566,1.020656221,1.066126243,0.926574609
01-06-03,-0.069667162,-0.046595632,-0.017258964,-0.038503475,-0.041059025,0.019776207,0.041390608,0.009312922,-0.034483796,0.004037987,0.212687906,0.069690667,1.236998531,,,,,,0.932704208,0.954473278,0.982889119,0.962228361,0.959772477,1.019973051,1.042259141,1.009356423,0.966103994,1.004046151,1.236998531
01-07-03,-0.078357413,-0.134122535,-0.111375103,-0.110477537,-0.150774257,-0.100244171,-0.095873334,-0.164814452,-0.116544402,-0.127430314,-0.065573984,0.063470244,0.936529756,,,,,,0.924633891,0.874482903,0.894603118,0.895406443,0.860041825,0.90461651,0.908579095,0.848051043,0.889990579,0.880354762,0.936529756
01-08-03,-0.069519835,-0.06350195,-0.085718397,-0.07316305,-0.085598815,-0.106534283,-0.102696802,-0.062602341,-0.017706338,-0.096840678,0.019196323,0.058687198,1.019381757,,,,,,0.93284163,0.938472289,0.917852665,0.929449271,0.91796243,0.89894423,0.902400538,0.939316927,0.982449498,0.907700611,1.019381757
01-09-03,-0.046057227,-0.056133853,-0.044127999,-0.05964741,-0.037377715,-0.041719481,-0.032942431,-0.061272039,-0.062465121,-0.034066358,0.095469943,0.054365072,1.100175753,,,,,,0.95498731,0.945412581,0.956831476,0.942096649,0.96331221,0.9591388,0.967594262,0.940567334,0.939445829,0.966507367,1.100175753
01-10-03,-0.056439311,-0.008073746,0.005467097,0.013047757,0.080066606,0.007203055,-0.030049362,0.056672143,0.005274597,0.04406208,-0.058426866,0.056752778,0.943247222,,,,,,0.945123841,0.99195876,1.005482069,1.01313325,1.083359224,1.007229059,0.970397632,1.05830878,1.005288532,1.045047229,0.943247222
01-11-03,-0.061020831,-0.025114269,0.061062538,-0.0060872,-0.015291746,-0.017215545,-0.055386545,0.039293521,0.003119023,0.070417434,-0.279095327,0.055463089,0.756467788,,,,,,0.940803642,0.975198471,1.062965388,0.993931289,0.984824579,0.982931796,0.94611936,1.040075723,1.003123892,1.072955976,0.756467788
01-12-03,-0.060551111,-0.012321848,-0.040180015,-0.02743933,-0.026239052,-0.010162114,-0.025878765,-0.00345938,-0.049375348,-0.065865358,-0.029940798,0.05319501,0.970502988,,,,,,0.94124566,0.987753755,0.960616498,0.972933709,0.974102201,0.989889346,0.97445322,0.996546597,0.951823797,0.936256915,0.970502988
01-01-04,-0.035039027,0.005987851,-0.034471878,0.142153641,0.058174443,0.04009339,0.039282553,0.123156597,0.031089948,0.070794978,-0.049363275,0.048164711,0.951835289,,,,,,0.965567732,1.006005814,0.966115509,1.152753745,1.059899872,1.04090798,1.040064315,1.131061528,1.031578289,1.07336114,0.951835289
