,,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9
2001,4,['SFET.TA' 'NISA.TA' 'HOD.TA' 'ISCN.TA' 'BRIL.TA' 'IES.TA' 'MZTF.TA'],['PLRM.TA' 'AICS.TA' 'SMNIN.TA' 'EMCO.TA' 'PAYT.TA' 'CDEV.TA' 'EMDV.TA'],['ZUR.TA' 'POLY.TA' 'RLCO.TA' 'EXPO.TA' 'FRSX.TA' 'ROBO.TA' 'TDRN.TA'],['CMER.TA' 'SEMG.TA' 'TREN.TA' 'BIRM.TA' 'ASGR.TA' 'CTPL5.TA' 'ANLT.TA'],['KLIL.TA' 'AURA.TA' 'MTRX.TA' 'NAWI.TA' 'KRUR.TA' 'LUDN.TA' 'MNGN.TA'],['ONE.TA' 'ELDAV.TA' 'MNRV.TA' 'ADGR.TA' 'CFX.TA' 'TUZA.TA' 'ENLT.TA'],['CMDR.TA' 'MLTM.TA' 'IBI.TA' 'AMAN.TA' 'PRTC.TA' 'GZT.TA' 'PLCR.TA'],['KAFR.TA' 'AYAL.TA' 'GSFI.TA' 'ASHO.TA' 'TEDE.TA' 'RPAC.TA' 'SRAC.TA'],['RAVD.TA' 'TLSY.TA' 'YBOX.TA' 'TAYA.TA' 'RSEL.TA' 'SHOM.TA' 'AVRT.TA'],['ORBI.TA' 'WSMK.TA' 'MTDS.TA']
2001,5,['SFET.TA' 'NISA.TA' 'HOD.TA' 'ISCN.TA' 'BRIL.TA' 'IES.TA' 'MZTF.TA'],['PLRM.TA' 'AICS.TA' 'SMNIN.TA' 'EMCO.TA' 'PAYT.TA' 'CDEV.TA' 'EMDV.TA'],['ZUR.TA' 'POLY.TA' 'RLCO.TA' 'EXPO.TA' 'FRSX.TA' 'ROBO.TA' 'TDRN.TA'],['CMER.TA' 'SEMG.TA' 'TREN.TA' 'BIRM.TA' 'ASGR.TA' 'CTPL5.TA' 'KLIL.TA'],['KRUR.TA' 'MTRX.TA' 'AURA.TA' 'MNGN.TA' 'ANLT.TA' 'NAWI.TA' 'ONE.TA'],['ELDAV.TA' 'MNRV.TA' 'ADGR.TA' 'CFX.TA' 'TUZA.TA' 'ENLT.TA' 'CMDR.TA'],['MLTM.TA' 'IBI.TA' 'AMAN.TA' 'PRTC.TA' 'GZT.TA' 'PLCR.TA' 'KAFR.TA'],['AYAL.TA' 'GSFI.TA' 'LUDN.TA' 'ASHO.TA' 'TEDE.TA' 'RPAC.TA' 'SRAC.TA'],['RAVD.TA' 'TLSY.TA' 'YBOX.TA' 'TAYA.TA' 'RSEL.TA' 'SHOM.TA' 'AVRT.TA'],['MTDS.TA' 'ORBI.TA' 'WSMK.TA']
2001,6,['SFET.TA' 'NISA.TA' 'HOD.TA' 'ISCN.TA' 'BRIL.TA' 'IES.TA' 'MZTF.TA'],['PLRM.TA' 'AICS.TA' 'SMNIN.TA' 'EMCO.TA' 'PAYT.TA' 'CDEV.TA' 'EMDV.TA'],['ZUR.TA' 'POLY.TA' 'RLCO.TA' 'EXPO.TA' 'FRSX.TA' 'ROBO.TA' 'TDRN.TA'],['CMER.TA' 'SEMG.TA' 'TREN.TA' 'BIRM.TA' 'ASGR.TA' 'CTPL5.TA' 'TUZA.TA'],['KRUR.TA' 'MTRX.TA' 'MNGN.TA' 'KLIL.TA' 'NAWI.TA' 'AURA.TA' 'ELDAV.TA'],['CFX.TA' 'MNRV.TA' 'ONE.TA' 'ANLT.TA' 'ENLT.TA' 'CMDR.TA' 'MLTM.TA'],['IBI.TA' 'AMAN.TA' 'PRTC.TA' 'GZT.TA' 'PLCR.TA' 'KAFR.TA' 'AYAL.TA'],['ADGR.TA' 'GSFI.TA' 'LUDN.TA' 'ASHO.TA' 'TEDE.TA' 'RPAC.TA' 'SRAC.TA'],['RAVD.TA' 'TLSY.TA' 'YBOX.TA' 'TAYA.TA' 'RSEL.TA' 'SHOM.TA' 'AVRT.TA'],['MTDS.TA' 'ORBI.TA' 'WSMK.TA']
2001,7,['SFET.TA' 'NISA.TA' 'HOD.TA' 'ISCN.TA' 'BRIL.TA' 'IES.TA' 'MZTF.TA'],['PLRM.TA' 'AICS.TA' 'SMNIN.TA' 'EMCO.TA' 'PAYT.TA' 'CDEV.TA' 'EMDV.TA'],['ZUR.TA' 'POLY.TA' 'RLCO.TA' 'EXPO.TA' 'FRSX.TA' 'ROBO.TA' 'TDRN.TA'],['CMER.TA' 'SEMG.TA' 'TREN.TA' 'BIRM.TA' 'ASGR.TA' 'CTPL5.TA' 'MNRV.TA'],['CFX.TA' 'ELDAV.TA' 'ONE.TA' 'NAWI.TA' 'AURA.TA' 'MNGN.TA' 'MTRX.TA'],['KRUR.TA' 'ANLT.TA' 'KLIL.TA' 'ENLT.TA' 'CMDR.TA' 'MLTM.TA' 'IBI.TA'],['AMAN.TA' 'PRTC.TA' 'GZT.TA' 'PLCR.TA' 'KAFR.TA' 'AYAL.TA' 'ADGR.TA'],['GSFI.TA' 'LUDN.TA' 'ASHO.TA' 'TEDE.TA' 'RPAC.TA' 'TUZA.TA' 'SRAC.TA'],['RAVD.TA' 'TLSY.TA' 'YBOX.TA' 'TAYA.TA' 'RSEL.TA' 'SHOM.TA' 'AVRT.TA'],['MTDS.TA' 'ORBI.TA' 'WSMK.TA']
2001,8,['SFET.TA' 'NISA.TA' 'HOD.TA' 'ISCN.TA' 'BRIL.TA' 'IES.TA' 'MZTF.TA'],['PLRM.TA' 'AICS.TA' 'SMNIN.TA' 'EMCO.TA' 'PAYT.TA' 'CDEV.TA' 'EMDV.TA'],['ZUR.TA' 'POLY.TA' 'RLCO.TA' 'EXPO.TA' 'FRSX.TA' 'ROBO.TA' 'TDRN.TA'],['CMER.TA' 'SEMG.TA' 'TREN.TA' 'BIRM.TA' 'ASGR.TA' 'CTPL5.TA' 'MNRV.TA'],['CFX.TA' 'ELDAV.TA' 'ONE.TA' 'NAWI.TA' 'AURA.TA' 'MNGN.TA' 'MTRX.TA'],['KRUR.TA' 'ANLT.TA' 'KLIL.TA' 'ENLT.TA' 'CMDR.TA' 'MLTM.TA' 'IBI.TA'],['AMAN.TA' 'PRTC.TA' 'GZT.TA' 'PLCR.TA' 'KAFR.TA' 'AYAL.TA' 'ADGR.TA'],['GSFI.TA' 'LUDN.TA' 'ASHO.TA' 'TEDE.TA' 'RPAC.TA' 'TUZA.TA' 'SRAC.TA'],['RAVD.TA' 'TLSY.TA' 'YBOX.TA' 'TAYA.TA' 'RSEL.TA' 'SHOM.TA' 'AVRT.TA'],['MTDS.TA' 'ORBI.TA' 'WSMK.TA']
2001,9,['SFET.TA' 'NISA.TA' 'HOD.TA' 'ISCN.TA' 'BRIL.TA' 'IES.TA' 'MZTF.TA'],['PLRM.TA' 'AICS.TA' 'SMNIN.TA' 'EMCO.TA' 'CDEV.TA' 'TREN.TA' 'KAFR.TA'],['EMDV.TA' 'ZUR.TA' 'POLY.TA' 'RLCO.TA' 'EXPO.TA' 'FRSX.TA' 'ROBO.TA'],['TDRN.TA' 'CMER.TA' 'SEMG.TA' 'PAYT.TA' 'BIRM.TA' 'ASGR.TA' 'CTPL5.TA'],['KLIL.TA' 'MLTM.TA' 'AURA.TA' 'MTRX.TA' 'NAWI.TA' 'MNGN.TA' 'ANLT.TA'],['PRTC.TA' 'ONE.TA' 'ELDAV.TA' 'MNRV.TA' 'CFX.TA' 'KRUR.TA' 'ENLT.TA'],['TEDE.TA' 'CMDR.TA' 'IBI.TA' 'AMAN.TA' 'GZT.TA' 'PLCR.TA' 'AYAL.TA'],['ADGR.TA' 'GSFI.TA' 'LUDN.TA' 'ASHO.TA' 'RPAC.TA' 'TUZA.TA' 'SRAC.TA'],['RAVD.TA' 'TLSY.TA' 'YBOX.TA' 'TAYA.TA' 'RSEL.TA' 'SHOM.TA' 'AVRT.TA'],['MTDS.TA' 'ORBI.TA' 'WSMK.TA']
2001,10,['SFET.TA' 'NISA.TA' 'HOD.TA' 'ISCN.TA' 'BRIL.TA' 'IES.TA' 'MZTF.TA'],['PLRM.TA' 'AICS.TA' 'SMNIN.TA' 'EMCO.TA' 'CDEV.TA' 'TREN.TA' 'KAFR.TA'],['EMDV.TA' 'ZUR.TA' 'POLY.TA' 'RLCO.TA' 'EXPO.TA' 'FRSX.TA' 'ROBO.TA'],['TDRN.TA' 'CMER.TA' 'SEMG.TA' 'PAYT.TA' 'BIRM.TA' 'ASGR.TA' 'CTPL5.TA'],['KLIL.TA' 'MLTM.TA' 'AURA.TA' 'MTRX.TA' 'NAWI.TA' 'MNGN.TA' 'ANLT.TA'],['PRTC.TA' 'ONE.TA' 'ELDAV.TA' 'MNRV.TA' 'CFX.TA' 'KRUR.TA' 'ENLT.TA'],['TEDE.TA' 'CMDR.TA' 'IBI.TA' 'AMAN.TA' 'GZT.TA' 'PLCR.TA' 'AYAL.TA'],['ADGR.TA' 'GSFI.TA' 'LUDN.TA' 'ASHO.TA' 'RPAC.TA' 'TUZA.TA' 'SRAC.TA'],['RAVD.TA' 'TLSY.TA' 'YBOX.TA' 'TAYA.TA' 'RSEL.TA' 'SHOM.TA' 'AVRT.TA'],['MTDS.TA' 'ORBI.TA' 'WSMK.TA']
2001,11,['SFET.TA' 'IES.TA' 'MZTF.TA' 'PLRM.TA' 'AICS.TA' 'SMNIN.TA' 'EMCO.TA'],['MTDS.TA' 'CDEV.TA' 'TREN.TA' 'KAFR.TA' 'EMDV.TA' 'WSMK.TA' 'ZUR.TA'],['RSEL.TA' 'TAYA.TA' 'AVRT.TA' 'POLY.TA' 'RLCO.TA' 'EXPO.TA' 'FRSX.TA'],['ROBO.TA' 'TDRN.TA' 'TLSY.TA' 'CMER.TA' 'ORBI.TA' 'YBOX.TA' 'SEMG.TA'],['BRIL.TA' 'ISCN.TA' 'ASGR.TA' 'MTRX.TA' 'MNRV.TA' 'CFX.TA' 'NAWI.TA'],['AURA.TA' 'MLTM.TA' 'KRUR.TA' 'ANLT.TA' 'KLIL.TA' 'HOD.TA' 'MNGN.TA'],['PRTC.TA' 'CTPL5.TA' 'ONE.TA' 'ELDAV.TA' 'NISA.TA' 'PAYT.TA' 'BIRM.TA'],['ENLT.TA' 'TEDE.TA' 'SRAC.TA' 'SHOM.TA' 'CMDR.TA' 'IBI.TA' 'AMAN.TA'],['GZT.TA' 'PLCR.TA' 'AYAL.TA' 'ADGR.TA' 'GSFI.TA' 'LUDN.TA' 'ASHO.TA'],['RPAC.TA' 'TUZA.TA' 'RAVD.TA']
2001,12,['SFET.TA' 'BRIL.TA' 'IES.TA' 'MZTF.TA' 'AICS.TA' 'SMNIN.TA' 'EMCO.TA'],['MTDS.TA' 'CDEV.TA' 'TREN.TA' 'KAFR.TA' 'WSMK.TA' 'ZUR.TA' 'ISCN.TA'],['RSEL.TA' 'AVRT.TA' 'POLY.TA' 'RLCO.TA' 'EXPO.TA' 'FRSX.TA' 'ROBO.TA'],['TDRN.TA' 'TLSY.TA' 'CMER.TA' 'ORBI.TA' 'YBOX.TA' 'SEMG.TA' 'TAYA.TA'],['HOD.TA' 'ASGR.TA' 'NISA.TA' 'MNRV.TA' 'CFX.TA' 'NAWI.TA' 'AURA.TA'],['MLTM.TA' 'KRUR.TA' 'ANLT.TA' 'KLIL.TA' 'MTRX.TA' 'ASHO.TA' 'MNGN.TA'],['PRTC.TA' 'CTPL5.TA' 'ONE.TA' 'PAYT.TA' 'ELDAV.TA' 'BIRM.TA' 'AMAN.TA'],['RPAC.TA' 'ENLT.TA' 'SRAC.TA' 'RAVD.TA' 'SHOM.TA' 'CMDR.TA' 'IBI.TA'],['EMDV.TA' 'GSFI.TA' 'GZT.TA' 'PLRM.TA' 'PLCR.TA' 'AYAL.TA' 'TEDE.TA'],['ADGR.TA' 'LUDN.TA' 'TUZA.TA']
2002,1,['SFET.TA' 'BRIL.TA' 'IES.TA' 'MZTF.TA' 'AICS.TA' 'SMNIN.TA' 'EMCO.TA'],['MTDS.TA' 'CDEV.TA' 'TREN.TA' 'KAFR.TA' 'WSMK.TA' 'ZUR.TA' 'ISCN.TA'],['RSEL.TA' 'AVRT.TA' 'POLY.TA' 'RLCO.TA' 'EXPO.TA' 'FRSX.TA' 'ROBO.TA'],['TDRN.TA' 'TLSY.TA' 'CMER.TA' 'ORBI.TA' 'YBOX.TA' 'SEMG.TA' 'TAYA.TA'],['HOD.TA' 'ASGR.TA' 'NISA.TA' 'MNRV.TA' 'CFX.TA' 'NAWI.TA' 'AURA.TA'],['MLTM.TA' 'KRUR.TA' 'ANLT.TA' 'KLIL.TA' 'MTRX.TA' 'ASHO.TA' 'MNGN.TA'],['PRTC.TA' 'CTPL5.TA' 'ONE.TA' 'PAYT.TA' 'ELDAV.TA' 'BIRM.TA' 'AMAN.TA'],['RPAC.TA' 'ENLT.TA' 'SRAC.TA' 'RAVD.TA' 'SHOM.TA' 'CMDR.TA' 'IBI.TA'],['EMDV.TA' 'GSFI.TA' 'GZT.TA' 'PLRM.TA' 'PLCR.TA' 'AYAL.TA' 'TEDE.TA'],['ADGR.TA' 'LUDN.TA' 'TUZA.TA']
