Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,487.230011,529.140015,471.589996,490.950012,490.950012,0
2000-02-01,490.950012,568.650024,490.950012,564.809998,564.809998,0
2000-03-01,564.809998,585.989990,513.950012,516.549988,516.549988,0
2000-04-01,509.609985,519.559998,455.070007,492.279999,492.279999,0
2000-05-01,495.309998,542.380005,479.429993,533.349976,533.349976,0
2000-06-01,533.349976,553.630005,532.460022,544.190002,544.190002,0
2000-07-01,552.500000,564.890015,522.739990,525.450012,525.450012,0
2000-08-01,525.450012,576.309998,518.320007,573.520020,573.520020,0
2000-09-01,573.520020,576.969971,547.789978,559.159973,559.159973,0
2000-10-01,559.159973,559.159973,445.170013,460.519989,460.519989,0
2000-11-01,460.519989,501.880005,456.679993,472.769989,472.769989,0
2000-12-01,472.769989,508.559998,471.500000,494.579987,494.579987,0
2001-01-01,489.250000,489.250000,437.739990,445.600006,445.600006,0
2001-02-01,445.600006,468.600006,438.359985,449.359985,449.359985,0
2001-03-01,449.359985,449.359985,380.700012,382.130005,382.130005,0
2001-04-01,384.339996,420.589996,366.929993,418.929993,418.929993,0
2001-05-01,418.929993,429.839996,408.869995,414.209991,414.209991,0
2001-06-01,414.209991,418.200012,396.459991,413.190002,413.190002,0
2001-07-01,421.730011,438.309998,410.299988,433.649994,433.649994,0
2001-08-01,433.649994,441.220001,411.769989,411.899994,411.899994,0
2001-09-01,410.220001,410.920013,349.140015,358.600006,358.600006,0
2001-10-01,358.600006,383.570007,355.399994,368.350006,368.350006,0
2001-11-01,368.350006,399.390015,364.730011,397.510010,397.510010,0
2001-12-01,388.640015,455.359985,384.140015,446.790009,446.790009,0
2002-01-01,446.790009,477.309998,426.619995,436.459991,436.459991,0
2002-02-01,436.459991,446.260010,392.089996,410.019989,410.019989,0
2002-03-01,410.019989,417.290009,395.570007,400.470001,400.470001,0
2002-04-01,379.220001,389.339996,361.160004,362.779999,362.779999,0
2002-05-01,362.779999,384.070007,362.779999,372.859985,372.859985,0
2002-06-01,376.200012,380.029999,338.040009,353.920013,353.920013,0
2002-07-01,357.390015,370.839996,344.649994,362.190002,362.190002,0
2002-08-01,362.190002,370.720001,347.609985,363.820007,363.820007,0
2002-09-01,360.160004,365.839996,334.350006,336.750000,336.750000,0
2002-10-01,336.750000,341.209991,319.950012,322.109985,322.109985,0
2002-11-01,322.109985,362.329987,319.429993,359.049988,359.049988,0
2002-12-01,362.369995,372.820007,330.000000,332.450012,332.450012,0
