Date,return,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9
2003-01-01,0.0,-0.09051658834491176,-0.07919660214204506,-0.08236854319415365,-0.10569804230442875,-0.11879842892470677,-0.06553852785775326,-0.09860731881445026,-0.07307441076562576,-0.06399775317167156,-0.06729902299059895
2003-02-01,0.0,-0.0850687733071289,-0.0855491111772356,-0.1052776048756967,-0.0655245769770872,-0.0724679472640133,-0.09678608010195561,-0.0899663300255398,-0.1035453423532722,-0.1632205985049018,-0.051470184258315406
2003-03-01,0.0,-0.08617129615099084,-0.07864008400787453,-0.04497092312162804,-0.048000110884342334,-0.01843989436960354,-0.07810748257958483,-0.05716385479987734,-0.010458683828717744,0.021090404390824866,-0.03290804024976564
2003-04-01,0.0,-0.04595619140352376,-0.07112347920822376,-0.01192085777782087,0.0046259420842601345,-0.05078005870517836,0.04877312440051754,0.02551500993079163,0.014165081631502138,0.013618054340611335,0.04633486662956063
2003-05-01,0.0,-0.05667797153994894,0.009191576018807768,-0.00027548322515064116,-0.01703229652802124,0.02107572524108206,-0.04521849159220534,0.01673271332627356,0.03319935233897656,0.020445774552737966,0.06403174586917196
2003-06-01,0.0,-0.06966716193300494,-0.04659563211589082,-0.017258964183040126,-0.03850347472223702,-0.04105902535014722,0.019776206819646674,0.04139060797692168,0.009312922426412976,-0.034483796327603324,0.00403798721322747
2003-07-01,0.0,-0.07835741345651331,-0.134122535063272,-0.1113751027263084,-0.11047753707240081,-0.150774256952541,-0.10024417092159861,-0.09587333373333551,-0.16481445224006802,-0.11654440208724531,-0.1274303141236803
2003-08-01,0.0,-0.0695198351403559,-0.0635019497840628,-0.08571839673474349,-0.0731630502972036,-0.0855988151867001,-0.1065342825855289,-0.10269680172296769,-0.0626023408228036,-0.017706338208738397,-0.096840677800023
2003-09-01,0.0,-0.04605722692776472,-0.05613385309970412,-0.04412799947721782,-0.059647409970502115,-0.03737771458689672,-0.04171948065814772,-0.03294243079484652,-0.06127203876357792,-0.06246512101011382,-0.034066358061547314
2003-10-01,0.0,-0.05643931105755846,-0.00807374551817576,0.0054670974370939415,0.013047756662968847,0.08006660648021044,0.007203054541057748,-0.030049361933132755,0.05667214346156734,0.005274596681284445,0.04406207978466974
2003-11-01,0.0,-0.06102083098394037,-0.02511426915456677,0.061062537812481825,-0.006087200376928871,-0.01529174619889747,-0.01721554470023267,-0.05538654472040274,0.039293521221301135,0.0031190225319190287,0.07041743362847053
2003-12-01,0.0,-0.0605511105681403,-0.012321847886682898,-0.040180014829788294,-0.027439329611852598,-0.026239051871712698,-0.0101621139563502,-0.025878764968398898,-0.0034593799681207,-0.049375348440766895,-0.0658653578864557
2004-01-01,0.0,-0.03503902688267149,0.005987851041611814,-0.03447187750503509,0.1421536412180806,0.05817444296987341,0.04009338988992171,0.03928255255620661,0.12315659684386761,0.03108994839225991,0.07079497774643372
2004-02-01,0.0,-0.05303335363853031,-0.01228679962407321,-0.04694024607109641,-0.02050382696839301,-0.026862241506986812,-0.04475174962988341,0.02332778001164769,0.04474818101460529,-0.02295410381998971,-0.3143255243399063
2004-03-01,0.0,-0.03690548018263931,-0.011295396440965506,-0.02336294990525191,-0.03844019040894951,-0.02409923007560121,-0.02024228800090151,-0.07191859138478851,-0.014572850810621207,0.016629297779306794,0.0469362512208181
2004-04-01,0.0,-0.01849599562646134,-0.008884974411635937,0.009461774768400662,-0.03685250308002864,-0.009817107074008041,0.04037607661497686,0.021244732920251655,0.028914325929429455,0.09021898323814527,-0.005070828514463138
2004-05-01,0.0,-0.033176276056020436,-0.08833951243357813,-0.08103739967000874,-0.07111379843512654,-0.06456110759422073,-0.04064201782431924,-0.07843400372064344,-0.03962416944587634,-0.10862376245782583,-0.11253540647653244
2004-06-01,0.0,-0.032272609694723065,-0.0038223312499975695,0.003887177228131429,-0.02001748597916877,-0.015487565244383269,-0.03483069124056157,-0.030952282636759868,-0.05288818754749067,0.039027189202164636,-0.05823826899540757
2004-07-01,0.0,-0.055696802653528714,-0.056982370509444415,-0.10441564040872572,-0.07132901614259571,-0.0955808515505285,-0.07569602878891732,-0.04366700682187732,-0.07029557740351872,-0.11148274232813471,-0.1440157917441237
