Date,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9
2002_3,,,,,,,,,,
2002_4,,,,,,,,,,
2002_5,,,,,,,,,,
2002_6,,,,,,,,,,
2002_7,,,,,,,,,,
2002_8,,,,,,,,,,
2002_9,,,,,,,,,,
2002_10,,,,,,,,,,
2002_11,,,,,,,,,,
2002_12,,,,,,,,,,
2003_1,,,,,,,,,,
2003_2,-0.04002763536640376,0.011470783792738998,-0.008036921525601537,0.01427517542745076,0.001307564189113125,-0.026571015991142605,-0.036073122603768076,-0.011212229218162766,0.0020729618853469745,-0.020763455586722667
2003_3,0.020139638446702746,0.07922717298505312,0.08435489808399223,0.05075077500142666,0.022418295424392876,-0.002140827550792457,0.05467376996365993,0.06891046629867506,0.13951427995753693,0.00953130686455329
2003_4,0.018127811225761237,0.042280193418778554,0.10101075794692049,0.07387665246465061,0.06144123181073672,0.14285647302415483,0.1083847144187267,0.12226992105625589,0.12030701449216301,0.05482489504760941
2003_5,-0.004062279297818333,0.03601060070549218,0.09000661824316046,0.10089866504797806,0.1500538056727448,0.1273112023627903,0.15526472664813518,0.18062409785563402,0.05840650172184557,0.01921542727445344
2003_6,0.008373943093688463,0.0696347049854401,0.09170079115153157,0.10353321141338423,0.07720694073304338,0.06797623121818619,0.10217960837200654,0.10669538261389264,0.04736374063084512,0.034474256014198165
2003_7,-0.045864689667028925,-0.03996946191793223,-0.06638062138762904,-0.04019195831739675,-0.016362650104698617,-0.06580452190628294,-0.010465703287773066,-0.030606143481719267,-0.09415060896136122,-0.07676171187448504
2003_8,-0.054816077435376684,-0.05879104716060799,-0.013684611833610716,0.001765544578573136,-0.009362582260881385,-0.026879364874310606,0.025510717866649584,0.011962609301189624,0.012597113157849327,0.008086440329005101
2003_9,0.029616817987461196,-0.0020442031567085408,0.030809087671500302,0.014266372799018906,-0.021037182695910667,0.009378280064262218,0.00030196936900990236,0.04061827542064177,0.03269230061937023,-0.02270334459125936
2003_10,-0.0024131986655811176,0.15609700809323995,0.07444504701884454,0.0376764906900608,0.09937883569335285,0.07335979421616498,0.06943526192149156,0.09339348923704696,0.08021282908603229,0.12390489152378258
2003_11,0.13361060054117319,0.03075185958221941,0.06921072181969509,0.059974975056727,0.08219815198549979,0.0691712801596365,0.09111305357333639,0.02332774571743452,0.03326724514533609,0.10142386939493843
2003_12,-0.02435166678266787,0.03073660075283959,0.019785038980838342,0.05842154988314555,-0.0035107723171115546,-0.004942234705711246,0.03828683053137682,0.08116738794211484,0.046470629858593515,0.0333421536559651
2004_1,0.0007500212481258151,0.13154174038344718,0.11916637375423347,0.07140475370114283,0.11636620786903125,0.15333955148108888,0.22963343550523624,0.11845877790374734,0.12431447157418293,0.07446987096801229
2004_2,0.11466626913510954,0.08110202635455803,0.08372146630617658,0.0669677070632074,0.0581057404823199,-0.010679671909036209,-0.0450972288031829,0.2066078258172884,0.009678245254350825,-0.06374483484619864
2004_3,0.03697912009768429,0.04805214440873557,0.14068004813997587,0.06210909302762937,-0.004218398731357359,0.007557350664511087,0.07865853534518635,-0.016449210665770864,-0.03131438334826051,0.06055896207680977
2004_4,0.07732200327879638,0.0859506909174751,0.09578293897383261,0.05690532370434472,0.10825008506479343,0.05582886311190367,0.06900455890714827,0.037246611840919264,0.05152323427760254,0.039307713485042015
2004_5,-0.031239054580845655,-0.00034406242172839164,-0.026359979700508435,0.0040357091852451675,-0.0284686188513393,-0.04913606232605255,-0.0368707211273618,-0.037910412655726866,-0.02901086741909683,-0.01998707670784125
2004_6,0.008270777727826356,0.01172599703896759,0.044754274627641796,0.04402838961393304,0.04453293459421314,0.03615001828988092,0.049537773039855654,0.02316363717508068,-0.001282111389688667,0.05947911883621573
2004_7,-0.023991622758020782,-0.041675667317294954,-0.018650944825033943,-0.010212248992960549,0.008865732236521739,-0.06541511402197653,-0.021019590723444264,-0.05987165166453965,-0.0706560458834626,-0.05220280515779239
2004_8,-0.055724352924000374,-0.04721423440086038,-0.04158856142403066,-0.02239325424226844,-0.037319322577671496,-0.04591199165632755,-0.06084311938382492,-0.03370015805708584,-0.010150020759539613,-0.060960196170331535
2004_9,0.0032619470107987714,0.002868946180085502,-0.013530942402560803,0.024988206682193537,-0.026216433315763704,0.0014247729875241032,0.004636911195122023,-0.02436267192482216,0.022376568770378007,-0.005240755071978119
2004_10,-0.03860998357073542,-0.017160595070872576,-0.0377304722716895,-0.01097075482052357,-0.016556661065792906,-0.024296080362857568,-0.03283790693261353,-0.029961273639829027,-0.0016131480792315911,-0.03562126497591864
2004_11,0.07534190130733534,0.03526303700439008,0.05801317982556754,0.09698459340246522,0.03194298647996442,-0.025969292173742685,0.06692332549473598,0.06409782813223411,0.05509586860124345,0.010221877598011532
2004_12,0.03027045793517676,0.010651767217777598,-0.0195433211700424,0.02472773882081153,0.02416221075008687,0.051999990444400054,0.013583279478034078,0.05761528091742722,0.020282202056487703,0.8281720716456862
2005_1,0.14587845334122887,0.4305884682726922,0.14642129194973036,0.16030409441617693,0.28012706265471,0.16092335229532764,0.18612139527498206,0.14545778432821047,0.11806524925733335,0.10542824116344326
2005_2,-0.02507897798719466,0.0772049914812951,0.07165695180980255,0.049201225737285546,0.0033174670683592533,0.08525019642371343,0.007179667576440174,0.0556316150619376,0.05284949829655792,0.018893292740388683
2005_3,0.08952824839262263,0.07956291826272355,0.024378610677552676,0.07787499538502508,0.08289875189331505,-0.019779163738135243,0.04534555550328258,-0.05905845800147228,-0.06937389038669535,0.02421682410410233
2005_4,0.06535043869667462,-0.028231937118807338,0.012410397365040127,-0.0017344249269695522,0.04383253356226637,0.09227279113695627,0.03221941586486633,0.005994954259459356,0.030240193252615993,-0.005969674702818769
2005_5,-0.044207590982647295,-0.00374127992563344,-0.0052215971059246455,-0.09211445458439813,-0.016205797710586632,-0.02845301243256834,-0.033808716356954295,-0.015058392334389511,-0.0406137618457652,0.06408523742332776
2005_6,-0.06107874967350894,-0.09513784819635836,-0.10028996268999493,-0.07527389647003553,-0.10242895847644479,-0.0855306827760825,-0.053920965972510955,-0.07506332538011119,-0.10616860601182225,-0.082801712090398
2005_7,0.09997744787403909,0.056478288672694096,0.06664984437743353,0.03998358740023593,0.039162849950355426,0.060069646731647254,0.11339309109133167,0.08305526830412939,0.09508068915102204,0.06011423264418134
2005_8,0.10795997993057468,0.0918916590466026,0.012937023882651584,0.02636187435969518,-0.018686771033500887,0.0047023051999019756,-0.006148756425104908,-0.011456811173238142,1.093829085834399,0.017009085467185936
2005_9,0.07592812515102446,0.008971604367046486,0.0959185569860593,-0.017882154485463445,0.07128053350150404,-0.0149713971948303,-0.012788439540028455,0.008953570461955425,0.015160594585242734,0.07619313872903129
2005_10,0.022458846013353177,0.01458421957751998,0.019206071390293195,-0.0032269444570305443,-0.00716207800781559,-0.0009977910695343536,0.02299725694191603,0.027792254622309102,0.029784421861600092,0.006413457690597032
2005_11,0.03719687677750984,4.720760937455667,0.021785728849884327,0.04053880195849508,0.037989256418375986,-0.004159773020296871,0.0036809364817829574,0.018685553712849322,-0.02261709738309902,0.02301768025540634
2005_12,-0.049256449189924376,-0.005046094079209143,-0.053803620038814,-0.005054316798831779,0.03729538166291775,0.06617165237787502,0.028741998358458185,0.008651464651704743,-0.02668783086186944,-0.009681686108118336
2006_1,0.3855740086572182,0.06475021879964082,0.1298402522890874,0.11118460085813485,0.09290215600500393,0.12099881151579132,0.17394260575333864,0.03281393433538687,0.15022018244880775,0.19438576174016214
2006_2,0.04972141924647377,0.013538129812852961,-0.0023190124823146076,-0.0017137335226995718,-0.02713109740144438,-0.014629577199169283,-0.02233283990319867,0.01760404244393645,0.02132998489935879,-0.00034256152408082156
2006_3,0.05077548395988971,-0.03288628889442817,0.04975782254791965,0.0018605452351374311,0.010675792452897903,0.021028016749239688,0.04106796801434761,0.022846002653601205,0.01957947944632693,0.00635886018019786
2006_4,0.043783012517355495,0.12036155433667917,0.04122202350957924,0.06831308784042235,0.054380352311665735,0.07847157299780051,0.08600242981510417,0.04850197629254966,0.13916735197374905,0.10777879546560021
2006_5,-0.02164838016345595,0.0170690105424011,0.04060720236616945,-0.004995999056349948,-0.01296146614808047,0.027670252305440502,0.00578574557930753,-0.01582877163865314,0.034931279649343665,0.012377968284906567
2006_6,-0.047985176774574104,-0.055389132698124406,-0.05633421299490895,-0.04470601517528117,-0.04739292690597063,-0.07662644851318338,-0.07052714403705412,-0.06783498871258596,-0.047034036581161516,-0.05411215501134963
